Ground-truth,frame,xnano,ynano,znano,intensity 
    1,  1120, 43.325, 839.830, 340.704, 2747.034 
    2,  1913, 39.005, 850.199, 331.856, 1357.536 
    3,  1914, 39.005, 850.199, 331.856, 3575.509 
    4,  1528, 56.375, 868.420, 333.775, 526.689 
    5,  1651, 57.984, 875.285, 339.456, 83.345 
    6,  1652, 57.984, 875.285, 339.456, 1924.786 
    7,  1654, 57.984, 875.285, 339.456, 883.900 
    8,  1655, 57.984, 875.285, 339.456, 153.751 
    9,   496, 69.829, 859.504, 340.349, 1043.161 
   10,  2416, 67.588, 859.709, 346.982, 1786.722 
   11,   812, 11.845, 821.569, 339.934, 2209.263 
   12,   813, 11.845, 821.569, 339.934, 3965.950 
   13,   814, 11.845, 821.569, 339.934, 1174.129 
   14,  2304, 69.815, 873.417, 347.961, 2203.211 
   15,  2305, 69.815, 873.417, 347.961, 3315.226 
   16,  1909, 85.914, 889.720, 335.330, 1613.111 
   17,  2105, 92.772, 878.472, 330.943, 377.211 
   18,   379, 57.504, 856.425, 348.587, 696.813 
   19,   382, 57.504, 856.425, 348.587, 1932.589 
   20,   383, 57.504, 856.425, 348.587, 4117.334 
   21,   384, 57.504, 856.425, 348.587, 4117.334 
   22,  1004, 74.616, 875.686, 329.502, 2806.862 
   23,  1005, 74.616, 875.686, 329.502, 4586.037 
   24,  1006, 74.616, 875.686, 329.502, 4440.944 
   25,  1900, 13.820, 840.837, 349.642, 2134.438 
   26,   134, 96.348, 891.311, 348.047, 146.699 
   27,  1900, 97.211, 881.307, 334.234, 1677.345 
   28,  2051, 66.073, 874.277, 349.480, 2639.160 
   29,   451, 84.179, 879.872, 330.008, 527.272 
   30,   452, 84.179, 879.872, 330.008, 3256.971 
   31,  1935, 6.563, 833.651, 339.049, 338.734 
   32,  1936, 6.563, 833.651, 339.049, 4031.033 
   33,  1937, 6.563, 833.651, 339.049, 4031.033 
   34,  1938, 6.563, 833.651, 339.049, 4031.033 
   35,  1939, 6.563, 833.651, 339.049, 4031.033 
   36,  1940, 6.563, 833.651, 339.049, 1691.294 
   37,  1702, 67.221, 877.136, 337.819, 2677.826 
   38,  1703, 67.221, 877.136, 337.819, 4062.723 
   39,  1704, 67.221, 877.136, 337.819, 414.846 
   40,  2365, 2.088, 812.615, 341.677, 3995.221 
   41,  2366, 2.088, 812.615, 341.677, 1293.739 
   42,  1602, 70.512, 862.262, 338.145, 1307.844 
   43,  1603, 70.512, 862.262, 338.145, 2947.442 
   44,  1966, 22.842, 838.766, 332.394, 384.202 
   45,  1967, 22.842, 838.766, 332.394, 4319.641 
   46,  1968, 22.842, 838.766, 332.394, 4319.641 
   47,  1969, 22.842, 838.766, 332.394, 968.964 
   48,  2244, 62.931, 869.638, 348.258, 957.528 
   49,  2245, 62.931, 869.638, 348.258, 2212.402 
   50,  1565, 71.876, 862.454, 338.663, 3441.847 
   51,  1566, 71.876, 862.454, 338.663, 4443.543 
   52,  1567, 71.876, 862.454, 338.663, 814.101 
   53,  1573, 71.876, 862.454, 338.663, 1247.128 
   54,  1574, 71.876, 862.454, 338.663, 3149.534 
   55,  1230, 4.280, 829.626, 336.556, 379.930 
   56,  1231, 4.280, 829.626, 336.556, 3160.529 
   57,   706, 62.319, 877.831, 337.505, 1923.142 
   58,   707, 62.319, 877.831, 337.505, 4413.597 
   59,   708, 62.319, 877.831, 337.505, 4413.597 
   60,   709, 62.319, 877.831, 337.505, 4413.597 
   61,   712, 62.319, 877.831, 337.505, 1505.753 
   62,   713, 62.319, 877.831, 337.505, 3171.100 
   63,  1121, 23.797, 829.845, 339.588, 1049.683 
   64,  1736, 4.932, 814.765, 334.659, 592.581 
   65,  1737, 4.932, 814.765, 334.659, 503.454 
   66,  1489, 49.057, 846.598, 336.617, 2418.453 
   67,  1490, 49.057, 846.598, 336.617, 3977.163 
   68,  1491, 49.057, 846.598, 336.617, 593.168 
   69,  2405, 35.970, 841.681, 349.052, 605.573 
   70,  2406, 35.970, 841.681, 349.052, 474.320 
   71,  1929, 8.884, 824.190, 332.555, 2269.071 
   72,  1935, 8.884, 824.190, 332.555, 1538.955 
   73,  1936, 8.884, 824.190, 332.555, 4319.246 
   74,  1937, 8.884, 824.190, 332.555, 177.374 
   75,  1895, 29.128, 838.330, 336.055, 4020.478 
   76,  1896, 29.128, 838.330, 336.055, 102.422 
   77,   362, 93.849, 874.974, 342.207, 3512.748 
   78,   363, 93.849, 874.974, 342.207, 3151.659 
   79,   367, 93.849, 874.974, 342.207, 4107.499 
   80,   368, 93.849, 874.974, 342.207, 458.019 
   81,  2455, 9.671, 832.912, 336.335, 91.197 
   82,   276, 16.757, 837.452, 338.009, 1758.255 
   83,   277, 16.757, 837.452, 338.009, 315.586 
   84,   278, 16.757, 837.452, 338.009, 3885.432 
   85,   279, 16.757, 837.452, 338.009, 2703.627 
   86,  1122, 91.976, 881.873, 348.598, 723.788 
   87,  1123, 91.976, 881.873, 348.598, 3018.657 
   88,   817, 72.758, 862.517, 342.973, 1874.334 
   89,   820, 72.758, 862.517, 342.973, 2286.008 
   90,   821, 72.758, 862.517, 342.973, 4243.668 
   91,   822, 72.758, 862.517, 342.973, 1550.556 
   92,  2256, 58.817, 852.075, 342.285, 1552.525 
   93,  2257, 58.817, 852.075, 342.285, 1704.340 
   94,   227, 53.393, 866.731, 332.491, 4037.365 
   95,   228, 53.393, 866.731, 332.491, 2115.959 
   96,  1982, 49.634, 863.247, 335.696, 3852.472 
   97,  1725, 59.288, 872.776, 337.254, 996.308 
   98,  1726, 59.288, 872.776, 337.254, 4202.884 
   99,  1727, 59.288, 872.776, 337.254, 1773.665 
  100,     1, 57.409, 860.667, 333.002, 930.581 
  101,     2, 57.409, 860.667, 333.002, 4223.794 
  102,     3, 57.409, 860.667, 333.002, 3263.626 
  103,     5, 57.409, 860.667, 333.002, 1987.520 
  104,     6, 57.409, 860.667, 333.002, 338.322 
  105,  1664, 20.079, 842.081, 337.121, 1429.985 
  106,  1665, 20.079, 842.081, 337.121, 3986.145 
  107,  1666, 20.079, 842.081, 337.121, 3986.145 
  108,  1667, 20.079, 842.081, 337.121, 3986.145 
  109,  1668, 20.079, 842.081, 337.121, 766.291 
  110,  1339, 24.615, 846.122, 333.321, 1691.667 
  111,  1340, 24.615, 846.122, 333.321, 138.163 
  112,  1620, 84.412, 870.844, 341.156, 658.382 
  113,  1528, 55.002, 858.637, 349.557, 831.865 
  114,   804, 85.640, 871.453, 332.388, 1431.718 
  115,  1867, 74.740, 870.116, 330.739, 2930.581 
  116,  1874, 74.740, 870.116, 330.739, 2836.604 
  117,  1875, 74.740, 870.116, 330.739, 4315.353 
  118,  1876, 74.740, 870.116, 330.739, 131.545 
  119,  1497, 95.096, 879.844, 334.491, 1891.729 
  120,  1498, 95.096, 879.844, 334.491, 4207.918 
  121,  1499, 95.096, 879.844, 334.491, 4207.918 
  122,  1500, 95.096, 879.844, 334.491, 1040.014 
  123,     6, 33.995, 854.054, 337.202, 546.617 
  124,     7, 33.995, 854.054, 337.202, 2833.463 
  125,  1909, 15.100, 821.213, 339.573, 2243.792 
  126,  1910, 15.100, 821.213, 339.573, 3327.695 
  127,  1914, 15.100, 821.213, 339.573, 1455.967 
  128,  1915, 15.100, 821.213, 339.573, 4350.181 
  129,  1916, 15.100, 821.213, 339.573, 4350.181 
  130,  1917, 15.100, 821.213, 339.573, 4350.181 
  131,  1918, 15.100, 821.213, 339.573, 1376.594 
  132,  1895, 53.610, 871.572, 339.989, 2488.052 
  133,  1896, 53.610, 871.572, 339.989, 1873.807 
  134,  2404, 66.923, 874.040, 334.386, 2618.855 
  135,  2405, 66.923, 874.040, 334.386, 4465.646 
  136,  2406, 66.923, 874.040, 334.386, 4465.646 
  137,  2407, 66.923, 874.040, 334.386, 1592.312 
  138,   912, 1.793, 811.510, 337.760, 3548.827 
  139,   913, 1.793, 811.510, 337.760, 1114.083 
  140,   917, 1.793, 811.510, 337.760, 349.227 
  141,   918, 1.793, 811.510, 337.760, 4021.021 
  142,   919, 1.793, 811.510, 337.760, 155.650 
  143,   885, 64.806, 857.103, 333.828, 190.275 
  144,   886, 64.806, 857.103, 333.828, 2749.073 
  145,  1703, 40.570, 862.044, 338.456, 729.295 
  146,  1704, 40.570, 862.044, 338.456, 3490.979 
  147,  1707, 40.570, 862.044, 338.456, 2086.744 
  148,  1350, 39.844, 846.701, 351.169, 911.745 
  149,  1351, 39.844, 846.701, 351.169, 4331.473 
  150,  1352, 39.844, 846.701, 351.169, 4331.473 
  151,  1353, 39.844, 846.701, 351.169, 3425.133 
  152,   428, 70.208, 864.038, 350.239, 3302.054 
  153,   770, 76.580, 875.788, 351.740, 368.982 
  154,   771, 76.580, 875.788, 351.740, 1747.367 
  155,   773, 76.580, 875.788, 351.740, 93.474 
  156,   419, 45.472, 854.250, 350.515, 1182.521 
  157,  1332, 32.313, 838.638, 350.992, 2516.995 
  158,  1242, 23.873, 832.327, 354.545, 2866.948 
  159,  1243, 23.873, 832.327, 354.545, 1796.288 
  160,  1245, 23.873, 832.327, 354.545, 2604.216 
  161,  1246, 23.873, 832.327, 354.545, 3953.016 
  162,  1247, 23.873, 832.327, 354.545, 3953.016 
  163,  1248, 23.873, 832.327, 354.545, 691.843 
  164,   142, 18.340, 841.958, 350.540, 165.753 
  165,   788, 21.612, 834.983, 353.262, 442.006 
  166,   626, 53.612, 865.733, 350.939, 3504.852 
  167,   627, 53.612, 865.733, 350.939, 2787.519 
  168,  1478, 13.935, 829.418, 353.396, 587.632 
  169,  1479, 13.935, 829.418, 353.396, 4076.795 
  170,  1480, 13.935, 829.418, 353.396, 2486.501 
  171,  1145, 117.705, 893.118, 336.263, 507.805 
  172,  1146, 117.705, 893.118, 336.263, 1980.056 
  173,  2001, 104.133, 885.375, 348.852, 711.607 
  174,  2002, 104.133, 885.375, 348.852, 1140.597 
  175,    22, 108.011, 891.418, 329.653, 902.861 
  176,    23, 108.011, 891.418, 329.653, 4291.448 
  177,    24, 108.011, 891.418, 329.653, 297.866 
  178,   532, 122.421, 894.671, 331.982, 2068.507 
  179,   533, 122.421, 894.671, 331.982, 4145.738 
  180,   534, 122.421, 894.671, 331.982, 147.569 
  181,  1982, 108.455, 889.023, 336.353, 3723.349 
  182,  1983, 108.455, 889.023, 336.353, 3596.769 
  183,  1840, 125.460, 899.005, 341.437, 183.691 
  184,  1841, 125.460, 899.005, 341.437, 4748.983 
  185,  1842, 125.460, 899.005, 341.437, 4373.783 
