framenr,roinr,mx,my,count
1704,2,15,39,1
1704,0,1,17,0
1704,7,40,22,0
1704,9,55,28,2
1704,8,55,21,0
1704,6,36,22,1
1704,4,26,18,3
1704,3,25,21,2
1704,5,32,16,1
1704,1,1,6,2
1760,2,6,54,0
1760,0,1,7,0
1760,16,45,23,1
1760,11,22,28,1
1760,7,17,50,0
1760,9,22,26,1
1760,10,22,16,0
1760,8,20,33,0
1760,6,17,21,0
1760,4,12,53,2
1760,3,9,40,0
1760,5,15,38,1
1760,13,26,17,0
1760,14,30,25,2
1760,15,41,24,0
1760,12,23,21,1
1760,1,6,14,1
306,2,14,41,1
306,0,1,10,0
306,16,45,34,0
306,11,35,11,1
306,7,30,31,0
306,9,33,12,1
306,10,33,15,1
306,8,31,10,1
306,6,28,32,1
306,4,26,28,1
306,3,17,36,2
306,5,27,21,2
306,13,36,19,0
306,14,40,28,0
306,15,42,22,1
306,12,36,13,0
306,1,12,52,1
1316,2,11,16,2
1316,0,1,5,0
1316,11,46,18,0
1316,7,20,45,0
1316,9,28,20,0
1316,10,42,20,2
1316,8,22,26,1
1316,6,22,21,2
1316,4,14,44,1
1316,3,13,21,1
1316,5,15,37,0
1316,13,54,17,0
1316,14,57,28,1
1316,15,58,58,0
1316,12,45,23,2
1316,1,7,45,0
1090,2,16,38,1
1090,0,1,8,0
1090,11,45,23,0
1090,7,29,23,0
1090,9,34,22,1
1090,10,40,5,0
1090,8,34,1,4
1090,6,27,32,0
1090,4,24,21,1
1090,3,21,33,1
1090,5,24,26,1
1090,13,58,35,1
1090,12,52,29,0
1090,1,12,55,0
2111,2,15,19,1
2111,0,1,1,0
2111,11,49,24,2
2111,7,26,25,2
2111,9,40,22,1
2111,10,44,23,0
2111,8,29,26,1
2111,6,24,21,2
2111,4,17,35,1
2111,3,15,40,2
2111,5,22,36,0
2111,12,58,28,1
2111,1,5,14,1
1333,2,6,8,0
1333,0,1,26,0
1333,11,33,22,1
1333,7,26,25,0
1333,9,30,8,1
